tv_count,tp_count,target_circle,,
,,,,
7,1,vehicle,,
,,,,
7,1,vehicle,,
,,,,
7,1,on/off road,,
,,,,
7,1,on/off road,,
,,,,
6,1,on/off road,,
,,,,
6,1,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,1,vehicle,,
,,,,
5,1,vehicle,,
,,,,
5,1,vehicle,,
,,,,
5,1,vehicle,,
,,,,
5,1,vehicle,,
,,,,
5,1,vehicle,,
,,,,
5,1,vehicle,,
,,,,
5,1,vehicle,,
,,,,
6,1,vehicle,,
,,,,
6,1,vehicle,,
,,,,
6,1,vehicle,,
,,,,
6,1,vehicle,,
,,,,
6,1,vehicle,,
,,,,
6,1,vehicle,,
,,,,
6,1,vehicle,,
,,,,
6,1,vehicle,,
,,,,
6,1,vehicle,,
,,,,
6,0,vehicle,,
,,,,
6,0,vehicle,,
,,,,
5,2,vehicle,,
,,,,
5,2,vehicle,,
,,,,
6,1,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
6,2,vehicle,,
,,,,
6,1,vehicle,,
,,,,
6,2,vehicle,,
,,,,
6,2,vehicle,,
,,,,
7,2,on/off road,,
,,,,
7,2,on/off road,,
,,,,
7,2,on/off road,,
,,,,
6,3,on/off road,,
,,,,
6,3,on/off road,,
,,,,
6,3,on/off road,,
,,,,
6,3,on/off road,,
,,,,
6,3,on/off road,,
,,,,
6,3,on/off road,,
,,,,
6,3,on/off road,,
,,,,
7,2,vehicle,,
,,,,
7,2,vehicle,,
,,,,
7,2,vehicle,,
,,,,
7,2,vehicle,,
,,,,
7,2,vehicle,,
,,,,
7,2,vehicle,,
,,,,
7,2,vehicle,,
,,,,
6,4,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
7,3,vehicle,,
,,,,
6,3,vehicle,,
,,,,
6,3,vehicle,,
,,,,
6,3,vehicle,,
,,,,
6,3,vehicle,,
,,,,
6,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,3,vehicle,,
,,,,
5,1,vehicle,,
,,,,
5,1,vehicle,,
,,,,
4,3,vehicle,,
,,,,
4,3,vehicle,,
,,,,
4,3,vehicle,,
,,,,
4,1,vehicle,,
,,,,
4,1,vehicle,,
,,,,
4,1,vehicle,,
,,,,
4,1,vehicle,,
,,,,
4,1,vehicle,,
,,,,
4,1,vehicle,,
,,,,
4,1,vehicle,,
,,,,
4,4,vehicle,,
,,,,
4,4,vehicle,,
,,,,
4,4,vehicle,,
,,,,
4,4,vehicle,,
,,,,
10,0,on/off road,,
,,,,
10,0,on/off road,,
,,,,
10,0,on/off road,,
,,,,
10,0,on/off road,,
,,,,
10,0,on/off road,,
,,,,
10,0,on/off road,,
,,,,
10,0,on/off road,,
,,,,
10,0,on/off road,,
,,,,
11,0,on/off road,,
,,,,
11,0,on/off road,,
,,,,
11,0,on/off road,,
,,,,
11,0,on/off road,,
,,,,
11,0,vehicle,,
,,,,
11,0,vehicle,,
,,,,
11,0,vehicle,,
,,,,
11,0,on/off road,,
,,,,
11,0,on/off road,,
,,,,
11,0,on/off road,,
,,,,
11,0,on/off road,,
,,,,
11,0,on/off road,,
,,,,
11,0,on/off road,,
,,,,
9,0,on/off road,,
,,,,
9,0,on/off road,,
,,,,
8,0,on/off road,,
,,,,
8,0,on/off road,,
,,,,
8,0,on/off road,,
,,,,
8,0,on/off road,,
,,,,
7,1,vehicle,,
,,,,
7,0,vehicle,,
,,,,
7,1,vehicle,,
,,,,
7,1,vehicle,,
,,,,
7,0,vehicle,,
,,,,
7,0,vehicle,,
,,,,
7,1,vehicle,,
,,,,
7,1,vehicle,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
6,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
7,0,on/off road,,
,,,,
6,1,on/off road,,
,,,,
6,1,on/off road,,
,,,,
6,1,on/off road,,
,,,,
6,1,on/off road,,
,,,,
6,1,on/off road,,
,,,,
6,1,on/off road,,
,,,,
6,1,on/off road,,
,,,,
8,1,on/off road,,
,,,,
8,1,on/off road,,
,,,,
8,1,on/off road,,
,,,,
8,1,on/off road,,
,,,,
7,1,vehicle,,
,,,,
7,1,vehicle,,
,,,,
7,1,vehicle,,
,,,,
7,0,vehicle,,
,,,,
7,0,vehicle,,
,,,,
